title_x,tconst,runtimeMinutes,genres_x,averageRating,numVotes,decennie,budget,popularity,release_date,mots_clefs,data.overview,data.poster_image,Comedy,Drama,Documentary,url_trailer
Territorio Comanche,tt0120311,88.0,"Drama,War",6.4,408.0,1990,0,1.301,1997-03-07,[],[],https://image.tmdb.org/t/p/w500/tQK9bx1EICIik2Up49ZCyUX4BM3.jpg,0,1,0,
Tiré à part,tt0120337,85.0,"Drama,Thriller",6.5,217.0,1990,0,0.875,1997-01-22,[],"[""Nicolas, écrivain français, apporte à son ami Edward, grand éditeur britannique, son dernier manuscrit. Dès les premières pages, Edward est séduit par le style nouveau mais peu à peu un sentiment d'horreur l'envahit. Nicolas raconte l'histoire d'un crime commis trente ans auparavant dont Edward fut bien involontairement l'un des acteurs.""]",https://image.tmdb.org/t/p/w500/kmsf0DYmMtEj6dvr2I11Ixn2C38.jpg,0,1,0,
Un frère...,tt0120405,91.0,"Comedy,Drama",6.2,116.0,1990,0,0.781,1997-11-26,['réalisatrice'],[],https://image.tmdb.org/t/p/w500/vl207cT7aRpB3vaGUQXStLXg4JF.jpg,1,1,0,
Viagem ao Princípio do Mundo,tt0120443,91.0,"Biography,Drama",6.9,884.0,1990,0,1.347,1997-05-05,[],"[""D'origine portugaise, Alfonso est venu au Portugal pour jouer dans un film qui se tourne dans le nord du pays. Désireux de connaître le village qu'avait quitté son père soixante ans plus tôt, il part, accompagné de Manoel, son metteur en scène, de Judite et Duarte, ses collègues de travail. Au cours du trajet s'entrecroisent deux récits : celui de Manoel évoquant sa propre enfance et celui que fait Afonso des tribulations de son père.""]",https://image.tmdb.org/t/p/w500/euRxVGm8A3Y1y2rUafr5vKi027g.jpg,0,1,0,
La vie de Jésus,tt0120448,96.0,"Drama,Romance",7.0,3712.0,1990,0,5.721,1997-06-04,"['aids', 'épilepsie', 'aliénation', 'relation interraciale']","[""Chronique de la vie de Freddy, jeune épileptique, qui vit avec sa mère Yvette à Bailleul où elle tient le café Au Petit Casino, siège d'un club de pinsonneux, amateurs de pinsons qui concourent tous les dimanches et marquent à la craie sur un long morceau de bois le nombre de trilles de leur oiseau.""]",https://image.tmdb.org/t/p/w500/bOoBwABuUXzsq43UJN3b0XfAjOU.jpg,0,1,0,https://www.youtube.com/watch?v=82s4glWM9kA
La vie rêvée des anges,tt0120449,113.0,Drama,7.4,7989.0,1990,500000,8.106,1998-10-16,"['amitié', 'coma', 'âmes sœurs', 'amitié féminine', 'sens de la vie', 'the meaning of life', 'voyage sac à dos', 'Lille, France', 'amitié entre femmes']","['Isa, vingt ans, bourlingue avec pour tout bagage son sac à dos et une ""philosophie de la galère"" et va de ville en ville à la recherche de petits boulots, jamais les mêmes et jamais trop longtemps. Elle arrive à Lille et rencontre Marie, vingt ans également, elle aussi fille du Nord, solitaire, comme Isa, mais sauvage, écorchée, revoltée contre sa condition sociale.']",https://image.tmdb.org/t/p/w500/54QRsF3NZTkbdsaiIHd9XkxeD9Q.jpg,0,1,0,https://www.youtube.com/watch?v=BPA4WjLQoqQ
La vérité si je mens!,tt0120471,100.0,"Comedy,Romance",6.4,5215.0,1990,4000000,6.101,1997-04-01,[],"[""Édouard Vuibert est au bout du rouleau. Victor Benzakem, entrepreneur prospère du quartier du Sentier, le prend sous son aile quand une bagarre l'oppose à deux joueurs de bonneteau. Le prenant pour un Juif, il décide de l'embaucher comme manutentionnaire. Eddie laisse le quiproquo s'installer sur ses origines et il va faire son chemin dans une communauté chaleureuse jusqu'à séduire Sandra, la fille de son patron. Mais au cours de la préparation du mariage, Eddie se démasque involontairement. Il n'est pas juif ! Il déchaine alors le scandale et la colère de la belle Sandra.""]",https://image.tmdb.org/t/p/w500/lJFUqdIpIN5mBngsbxVn2ZB8JAT.jpg,1,0,0,https://www.youtube.com/watch?v=pFoN2AlF0gs
Western,tt0120494,124.0,"Comedy,Romance",6.7,1201.0,1990,0,1.568,1997-05-09,[],"[""C'est l'histoire de Paco et Nino. Paco, l'espagnol qui plaît aux femmes et Nino - petit émigré russe - qui marchent tous deux sur les routes de Bretagne. Ils se rencontrent, c'est l'aventure de leur amitié et de leurs nombreuses rencontres.""]",https://image.tmdb.org/t/p/w500/buGHmLQ2CgiqSLoMJ1DqnrvbEE0.jpg,1,0,0,
...Comme elle respire,tt0120639,106.0,"Comedy,Crime",6.3,422.0,1990,0,0.737,1998-08-15,[],"[""Jeanne est mythomane. Elle ment comme elle respire. Elle ne peut pas s'empêcher de raconter des histoires fabuleuses dont elle est la magnifique héroïne. Elle quitte Bordeaux pour Paris, et après quelques jours d'errance, rencontre Madeleine, une vieille dame crédule qui la prend a son service. Mais Madeleine est la proie d'Antoine, un jeune et bel escroc. Lorsque la vieille dame lui raconte que Jeanne est une riche héritière, Antoine décide de la séduire puis de l'enlever…""]",https://image.tmdb.org/t/p/w500/x68Opp4iq3tR1ZLQ8IlkNgW63hs.jpg,1,0,0,
Secret défense,tt0120665,170.0,"Crime,Drama",7.0,1045.0,1990,0,1.992,1998-03-18,"['métro', 'mort du père', 'vengeance']","[""Alors qu'elle travaille tard au laboratoire, Sylvie surprend son jeune frère Paul, une arme à la main. Il lui explique qu'il vient de découvrir les vraies raisons de la mort de leur père. Celui-ci ne se serait pas suicidé comme on le prétend : son associé Walser l'aurait assassiné et il en a les preuves. Inquiète de la détermination de son frère et de sa fragilité, Sylvie décide de prendre les choses en main.""]",https://image.tmdb.org/t/p/w500/vqI7Oq5beBwytaybzz1JsdZQpvT.jpg,0,1,0,
